country_clean,case_number,year,mining_case,economy_classification
Sudan,ARB/24/28,2024,No,Developing
Panama,ARB/24/27,2024,Yes,Developing
Poland,ARB(AF)/24/2,2024,No,Developed
Panama,ARB/24/26,2024,Yes,Developing
Colombia,ARB/24/25,2024,Yes,Developing
Honduras,ARB/24/24,2024,No,Developing
Spain,ARB/24/22,2024,Yes,Developed
Mexico,ARB/24/23,2024,Yes,Developing
Mexico,ARB/24/21,2024,Yes,Developing
Armenia,ARB/24/20,2024,Yes,Developing
Croatia,ARB/24/19,2024,Yes,Developed
Romania,ARB/24/18,2024,No,Developed
Trinidad And Tobago,ARB/24/17,2024,Yes,Developing
United Arab Emirates,ARB/24/16,2024,No,Developing
Belgium,ARB/24/15,2024,No,Developed
Uruguay,ARB/24/14,2024,No,Developing
Turkmenistan,ARB/24/13,2024,No,Developing
Panama,ARB/24/12,2024,Yes,Developing
Uruguay,ARB/24/11,2024,No,Developing
Serbia,ARB/24/10,2024,No,Developed
Peru,ARB/24/9,2024,Yes,Developing
Angola,ARB/24/8,2024,No,Developing
Belarus,ARB/24/7,2024,No,Developed
Hungary,ARB/24/6,2024,No,Developed
Mexico,ARB/24/5,2024,No,Developing
Mozambique,ARB/24/4,2024,Yes,Developing
Poland,ARB(AF)/24/1,2024,No,Developed
Colombia,ARB/24/3,2024,No,Developing
Bulgaria,ARB/24/2,2024,No,Developed
Ukraine,ARB/24/1,2024,No,Developed
United States,UNCT/23/4,2023,Yes,Developed
Mexico,ARB/23/53,2023,No,Developing
Netherlands,UNCT/23/3,2023,No,Developed
Argentina,ARB/23/52,2023,No,Developing
Belgium,ARB(AF)/23/3,2023,No,Developed
Senegal,ARB/23/51,2023,No,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/23/2,2023,No,Developing
Colombia,ARB/23/50,2023,Yes,Developing
Mexico,UNCT/22/1,2022,Yes,Developing
European Union,ARB(AF)/23/1,2023,Yes,Developed
Germany,ARB/23/49,2023,Yes,Developed
Denmark,ARB/23/48,2023,Yes,Developed
Germany,ARB/23/47,2023,No,Developed
Azerbaijan,ARB/23/46,2023,No,Developing
Georgia,ARB/23/45,2023,No,Developing
South Sudan,ARB/23/44,2023,No,Developing
Honduras,ARB/23/43,2023,No,Developing
Honduras,ARB/23/42,2023,No,Developing
Guatemala,CONC/23/1,2023,No,Developing
Panama,ARB/23/41,2023,No,Developing
Honduras,ARB/23/40,2023,No,Developing
Argentina,ARB/23/39,2023,No,Developing
Congo,ARB/23/38,2023,No,Developing
Peru,ARB/23/37,2023,No,Developing
Saudi Arabia,ARB/23/36,2023,No,Developing
North Macedonia,ARB/23/35,2023,No,Developed
Morocco,ARB/23/34,2023,No,Developing
Mexico,ARB/23/33,2023,No,Developing
Argentina,ARB/23/32,2023,No,Developing
North Macedonia,ARB/23/31,2023,No,Developed
Algeria,ARB/23/30,2023,No,Developing
Mexico,ARB/23/29,2023,No,Developing
Mexico,ARB/23/28,2023,Yes,Developing
"Venezuela, Bolivarian Republic Of",ARB/23/27,2023,Yes,Developing
"Tanzania, United Republic Of",ARB/23/26,2023,No,Developing
Mexico,ARB/23/25,2023,No,Developing
Mexico,ARB/23/24,2023,Yes,Developing
Georgia,ARB/23/23,2023,No,Developing
Mexico,ARB/23/22,2023,Yes,Developing
Cameroon,ARB/23/21,2023,No,Developing
Congo,ARB/23/20,2023,Yes,Developing
Nigeria,ARB/23/19,2023,Yes,Developing
Tunisia,ARB/23/18,2023,Yes,Developing
Honduras,ARB/23/17,2023,No,Developing
Costa Rica,ARB/23/16,2023,No,Developing
Mexico,ARB/23/15,2023,No,Developing
Canada,UNCT/23/2,2023,Yes,Developed
Viet Nam,ADM/23/1,2023,No,Developing
Italy,ARB/23/14,2023,No,Developed
Honduras,ARB/23/13,2023,No,Developing
Honduras,ARB/23/12,2023,No,Developing
Peru,ARB/23/11,2023,No,Developing
Mexico,UNCT/23/1,2023,No,Developing
Honduras,ARB/23/10,2023,No,Developing
Albania,ARB/23/9,2023,No,Developed
Trinidad And Tobago,ARB/23/8,2023,No,Developing
Norway,ARB/23/7,2023,No,Developed
Mexico,ARB/23/6,2023,No,Developing
Canada,ARB/23/5,2023,Yes,Developed
Mexico,ARB/23/4,2023,Yes,Developing
China,ADM/21/1,2020,Yes,Developing
Honduras,ARB/23/3,2023,No,Developing
Honduras,ARB/23/2,2023,No,Developing
Colombia,ARB/23/1,2023,No,Developing
Bahrain,ARB/22/34,2022,No,Developing
Slovenia,ARB/22/33,2022,No,Developed
Bulgaria,ARB/22/32,2022,No,Developed
Viet Nam,ARB(AF)/22/7,2022,No,Developing
Norway,ARB/22/31,2022,No,Developed
Peru,ARB/22/30,2022,No,Developing
Bulgaria,ARB/22/29,2022,Yes,Developed
Portugal,ARB/22/28,2022,No,Developed
Cameroon,ARB/22/27,2022,Yes,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/22/6,2022,No,Developing
Panama,ARB/22/26,2022,No,Developing
Kyrgyzstan,ARB/22/25,2022,Yes,Developing
Mexico,ARB/22/24,2022,No,Developing
Qatar,ARB/22/23,2022,No,Developing
France,ARB/22/22,2022,No,Developed
