country_clean,case_number,year,mining_case,economy_classification
Italy,ARB/17/14,2017,Yes,Developed
Grenada,ARB/17/13,2017,No,Developing
Panama,ARB/17/12,2017,No,Developing
Czechia,ARB/17/11,2017,No,Developed
Laos,ADHOC/17/1,2017,No,Developing
Iraq,ARB/17/10,2017,No,Developing
Peru,ARB/17/9,2017,No,Developing
Kuwait,ARB/17/8,2017,No,Developing
Iraq,ARB/17/7,2017,No,Developing
Albania,ARB/17/6,2017,No,Developed
Latvia,ARB/17/5,2017,No,Developed
Greece,ARB/17/4,2017,No,Developed
Peru,ARB/17/3,2017,No,Developing
Serbia,ARB/17/2,2017,No,Developed
Algeria,ARB/17/1,2017,No,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/17/1,2017,No,Developing
Panama,ARB/16/42,2016,No,Developing
Colombia,ARB/16/41,2016,Yes,Developing
"Venezuela, Bolivarian Republic Of",ARB/16/40,2016,No,Developing
Italy,ARB/16/39,2016,No,Developed
Latvia,ARB/16/38,2016,No,Developed
Egypt,ARB/16/37,2016,No,Developing
Bosnia And Herzegovina,ARB/16/36,2016,No,Developed
Ukraine,ARB/16/35,2016,Yes,Developed
Panama,ARB/16/34,2016,No,Developing
Peru,ARB/16/33,2016,No,Developing
Colombia,ARB(AF)/16/5,2016,No,Developing
Mauritius,ARB/16/32,2016,No,Developing
Croatia,ARB/16/31,2016,No,Developed
Kyrgyzstan,ARB(AF)/16/4,2016,No,Developing
Turkmenistan,ARB/16/30,2016,No,Developing
Lebanon,ARB/16/29,2016,No,Developing
Croatia,ARB/16/28,2016,No,Developed
Spain,ARB/16/27,2016,No,Developed
Mexico,ARB(AF)/16/3,2016,No,Developing
Indonesia,ARB/16/26,2016,No,Developing
Sri Lanka,ARB/16/25,2016,No,Developing
Bulgaria,ARB/16/24,2016,No,Developed
"Venezuela, Bolivarian Republic Of",ARB/16/23,2016,No,Developing
Philippines,ARB/16/22,2016,Yes,Developing
United States,ARB/16/21,2016,Yes,Developed
Greece,ARB/16/20,2016,No,Developed
Romania,ARB/16/19,2016,No,Developed
Spain,ARB/16/18,2016,No,Developed
Spain,ARB/16/17,2016,No,Developed
Canada,ARB/16/16,2016,No,Developed
Canada,UNCT/02/1,2000,No,Developed
Laos,ARB(AF)/16/2,2016,No,Developing
Albania,CONC/16/1,2016,No,Developed
"Venezuela, Bolivarian Republic Of",ARB(AF)/16/1,2016,No,Developing
Ghana,ARB/16/15,2016,Yes,Developing
Hungary,ARB/16/14,2016,Yes,Developed
Panama,ARB/16/13,2016,Yes,Developing
Canada,UNCT/07/1,2006,No,Developed
Kazakhstan,ARB/16/12,2016,Yes,Developing
Côte D'Ivoire,ARB/16/11,2016,No,Developing
Serbia,ARB/16/10,2016,No,Developed
Uruguay,ARB/16/9,2016,No,Developing
"Moldova, Republic Of",ARB/16/8,2016,No,Developed
Oman,ARB/16/7,2016,Yes,Developing
Colombia,ARB/16/6,2016,Yes,Developing
Italy,ARB/16/5,2016,No,Developed
Spain,ARB/16/4,2016,No,Developed
Lithuania,ARB/16/3,2016,No,Developed
Egypt,ARB/16/2,2016,No,Developing
