,caseid,caseno,claimant,isapproved,respondent,status,isapproved,dateregistered,isapproved,country_clean,country_iso3,extraction_method,registration_year,registration_month,registration_day,miningcase
131,135,ARB/24/10,"Kent Kart Anadolu Elektronik Sanayi ve Ticaret Anonim Şirketi, Kent Kart Ege Elektronik Sanayi ve Ticaret Anonim Şirketi and Kentkart Global Elektronik Anonim Şirketi",Y,Republic of Serbia,Pending,Y,2024-04-01 00:00:00,Y,Serbia,SRB,pycountry,2024,4,1,No
132,136,ARB/24/9,Gas Natural de Lima y Callao S.A.,Y,Republic of Peru,Pending,Y,2024-04-01 00:00:00,Y,Peru,PER,pycountry,2024,4,1,Yes
133,137,ARB/24/8,Ricardo Filomeno Duarte Ventura Leitão Machado,Y,Republic of Angola,Pending,Y,2024-03-28 00:00:00,Y,Angola,AGO,pycountry,2024,3,28,No
134,138,ARB/24/7,Kiabod Tutunian Mashad,Y,Republic of Belarus,Pending,Y,2024-03-19 00:00:00,Y,Belarus,BLR,pycountry,2024,3,19,No
135,139,ARB/24/6,Stratius Investments Limited,Y,Hungary,Pending,Y,2024-03-13 00:00:00,Y,Hungary,HUN,pycountry,2024,3,13,No
136,140,ARB/24/5,"Fotowatio Renewable Ventures S.L.U., FRV Solar Holdings III, S.L.U. and FRV Solar Holdings VI, S.L.U.",Y,United Mexican States,Pending,Y,2024-03-13 00:00:00,Y,Mexico,MEX,pycountry,2024,3,13,No
137,141,ARB/24/4,Rome Resources PLC and IM Minerals Limited,Y,Republic of Mozambique,Concluded,Y,2024-02-14 00:00:00,Y,Mozambique,MOZ,pycountry,2024,2,14,Yes
138,142,ARB(AF)/24/1,Mondi Investments Limited,Y,Republic of Poland,Pending,Y,2024-01-31 00:00:00,Y,Poland,POL,pycountry,2024,1,31,No
139,143,ARB/24/3,"InfraRed Infrastructure RAM GP Limited, InfraRed Infrastructure RAM LP and InfraRed Infrastructure RAM, S.L.",Y,Republic of Colombia,Pending,Y,2024-01-25 00:00:00,Y,Colombia,COL,pycountry,2024,1,25,No
140,144,ARB/24/2,"Nexo AG, NDS EOOD and Mirastar EOOD",Y,Republic of Bulgaria,Pending,Y,2024-01-18 00:00:00,Y,Bulgaria,BGR,pycountry,2024,1,18,No
141,145,ARB/24/1,ABH Holdings S.A.,Y,Ukraine,Pending,Y,2024-01-11 00:00:00,Y,Ukraine,UKR,pycountry,2024,1,11,No
142,146,UNCT/23/4,Alberta Petroleum Marketing Commission,Y,United States of America,Pending,Y,2023-11-30 00:00:00,Y,United States,USA,pycountry,2023,11,30,Yes
143,147,ARB/23/53,Caisse de dépôt et placement du Québec and CDP Groupe Infrastructures Inc.,Y,United Mexican States,Pending,Y,2023-12-15 00:00:00,Y,Mexico,MEX,pycountry,2023,12,15,No
144,148,UNCT/23/3,Abdallah Andraous,Y,Kingdom of the Netherlands,Concluded,Y,2023-10-18 00:00:00,Y,Netherlands,NLD,pycountry,2023,10,18,No
145,149,ARB/23/52,IJM Corporation Berhad,Y,Argentine Republic,Pending,Y,2023-12-11 00:00:00,Y,Argentina,ARG,pycountry,2023,12,11,No
146,150,ARB(AF)/23/3,Libyan Investment Authority and Libyan Arab Foreign Investment Company,Y,Kingdom of Belgium,Pending,Y,2023-12-11 00:00:00,Y,Belgium,BEL,pycountry,2023,12,11,No
147,151,ARB/23/51,NGE Contracting and Leduc,Y,Republic of Senegal,Concluded,Y,2023-11-20 00:00:00,Y,Senegal,SEN,pycountry,2023,11,20,No
148,152,ARB(AF)/23/2,Kellogg Latin America Holding Company (One) Limited,Y,Bolivarian Republic of Venezuela,Pending,Y,2023-11-09 00:00:00,Y,"Venezuela, Bolivarian Republic of",VEN,pycountry,2023,11,9,No
149,153,ARB/23/50,Glencore International A.G. & others,Y,Republic of Colombia,Pending,Y,2023-11-16 00:00:00,Y,Colombia,COL,pycountry,2023,11,16,Yes
150,154,UNCT/22/1,"Coeur Mining, Inc.",Y,United Mexican States,Pending,Y,2022-11-07 00:00:00,Y,Mexico,MEX,pycountry,2022,11,7,Yes
